duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,count,srv_count,serror_rate,dst_host_count,dst_host_srv_count,attack_label,target
1,udp,other,REJ,196,39,0,0,0,1,6,0,472,211,0.7536573978981622,81,232,neptune,1
0,icmp,http,S0,480,3,0,0,0,0,0,0,202,290,0.9868894540997011,12,231,smurf,1
0,tcp,http,SH,57664,57719,0,0,0,24,0,1,91,125,0.10256826307073856,84,147,normal,0
0,icmp,domain_u,REJ,290,75,0,0,0,2,0,0,455,264,0.9813024180117302,24,210,smurf,1
3,icmp,http,SF,45668,39869,0,0,0,20,0,1,94,51,0.015924590328539906,9,77,normal,0
4,tcp,dns,SF,11603,50428,0,0,0,2,0,1,41,125,0.04443933412932477,56,176,normal,0
1,icmp,other,SF,431,70,0,0,0,3,3,0,24,6,0.11505555500093156,46,168,warezclient,1
0,tcp,smtp,REJ,533,91,0,0,0,1,0,0,474,17,0.047467891178985054,220,107,portsweep,1
0,udp,domain_u,S0,509,89,0,0,0,3,0,0,338,490,0.8686627280239414,30,231,back,1
4,tcp,smtp,SF,17004,23020,0,0,0,16,0,1,24,61,0.09016408024953686,50,57,normal,0
17,tcp,http,SF,10121,45698,0,0,0,3,0,1,20,95,0.03889739213746594,61,183,normal,0
0,icmp,domain_u,S0,408,56,0,4,0,1,0,0,429,207,0.9889834167243909,7,228,pod,1
0,tcp,other,S0,401,55,0,0,0,0,2,1,377,261,0.7738151026773739,15,204,neptune,1
7,tcp,http,REJ,2285,31519,0,0,0,12,0,1,81,23,0.018024853748103187,65,196,normal,0
0,tcp,domain_u,S0,383,12,0,0,0,0,1,1,377,233,0.8295836464032815,15,247,neptune,1
1,tcp,dns,SF,24054,18308,0,0,0,8,0,0,68,148,0.13760396885203174,18,76,normal,0
0,tcp,http,REJ,182,62,1,0,0,4,0,1,98,72,0.057320625682529734,21,68,land,1
4,udp,http,SF,26553,1111,0,0,0,26,0,1,33,98,0.08309824522869809,47,69,normal,0
0,icmp,http,REJ,598,74,0,2,0,1,0,1,483,302,0.908786502434224,65,223,pod,1
3,tcp,http,SF,29070,30640,0,0,0,29,0,0,60,68,0.10860620387000425,75,80,normal,0
0,tcp,private,REJ,284,46,0,0,0,2,3,0,489,272,0.9426595426310597,16,233,neptune,1
0,tcp,private,S0,137,64,0,0,0,0,2,1,280,283,0.9727368075447085,34,230,neptune,1
3,tcp,other,SF,1655,48083,0,0,0,5,0,1,89,53,0.10959994915478241,80,152,normal,0
0,udp,domain_u,RSTO,137,30,0,0,0,2,0,0,222,148,0.09869427966224158,205,171,portsweep,1
0,udp,domain_u,RSTO,473,96,0,2,0,1,0,0,335,277,0.9153619478420872,9,253,teardrop,1
1,tcp,private,SF,487,99,0,0,0,3,2,1,4,70,0.05818579518993748,4,139,warezclient,1
0,udp,private,SF,575,35,1,0,0,0,0,0,52,3,0.14485640110872172,66,116,land,1
0,icmp,other,S0,145,13,0,0,0,4,0,0,474,348,0.7595235894805491,60,237,smurf,1
0,udp,http,SF,408,36,0,0,0,3,4,0,50,46,0.017492229240363026,22,160,warezclient,1
2,tcp,http,SF,59372,14347,0,0,0,21,0,0,97,80,0.0428869704087471,6,4,normal,0
1,udp,http,SF,35396,12906,0,0,0,22,0,1,16,4,0.037739793894868943,29,153,normal,0
4,tcp,other,SF,6409,45040,0,0,0,0,0,1,58,40,0.14412779261399958,12,166,normal,0
2,tcp,ssh,SF,29450,37300,0,0,0,22,0,1,35,39,0.0012556386002863461,69,22,normal,0
13,tcp,ftp,SF,51669,47108,0,0,1,21,0,1,76,145,0.13201393717801074,18,99,normal,0
12,tcp,smtp,S0,57590,51367,0,0,0,3,0,1,46,112,0.06095534004996422,97,46,normal,0
0,tcp,smtp,REJ,218,79,0,0,0,1,0,0,345,316,0.8708425832371809,66,213,back,1
1,tcp,dns,SF,41016,12993,0,0,0,27,0,1,71,4,0.10403196529158587,23,129,normal,0
6,tcp,other,SF,56699,13468,0,0,0,12,0,0,4,118,0.0067404086536386855,42,105,normal,0
0,udp,private,S0,160,13,0,0,0,1,4,1,358,400,0.7504517587106626,33,229,neptune,1
3,tcp,http,SF,7482,43818,0,0,0,22,0,1,71,65,0.005942365681679295,64,149,normal,0
0,tcp,other,S0,473,78,0,0,0,0,0,0,482,437,0.9184602893257715,5,222,back,1
12,tcp,ftp,SF,16118,15490,0,0,0,17,0,1,79,100,0.09410887866075898,31,166,normal,0
1,icmp,domain_u,SF,158,91,0,0,0,4,0,0,368,47,0.04123143022019723,232,29,ipsweep,1
1,icmp,private,S0,131,18,0,3,0,2,0,0,482,498,0.8622986955201946,14,240,teardrop,1
6,tcp,http,SF,30154,24653,0,0,0,25,0,1,81,71,0.007428974298454998,52,102,normal,0
3,tcp,ftp,SF,3657,32983,0,0,0,1,0,1,4,24,0.12061248657846219,5,71,normal,0
0,tcp,private,REJ,320,81,0,0,0,4,0,1,404,219,0.7986838327175053,22,226,back,1
2,icmp,other,S0,193,76,0,1,1,0,0,0,358,390,0.7831832810233754,22,254,pod,1
0,icmp,private,S0,517,63,0,3,0,2,0,0,354,407,0.8266162765682783,28,229,pod,1
0,tcp,other,S0,262,17,0,4,0,3,0,0,468,497,0.9856614117121151,61,220,teardrop,1
1,tcp,ftp,SF,40556,32869,0,0,0,4,0,1,56,92,0.04911742382826393,9,168,normal,0
3,tcp,dns,SF,25802,13450,0,0,0,25,0,0,97,25,0.0989875328411582,92,105,normal,0
2,tcp,ftp,SF,46800,57921,0,0,0,15,0,0,23,143,0.042713202038017796,67,61,normal,0
0,udp,other,SF,500,67,1,0,0,2,0,0,92,105,0.11374115038279473,39,189,land,1
0,icmp,other,RSTO,68,90,0,0,0,0,0,0,297,381,0.8111440269229682,90,237,smurf,1
9,tcp,http,S0,15423,47435,0,0,0,4,0,1,33,27,0.037391760773705665,78,52,normal,0
1,tcp,dns,S0,21080,54837,0,0,0,13,0,1,86,132,0.08347975265613364,65,12,normal,0
1,tcp,http,SF,38751,9771,0,0,0,6,0,1,39,76,0.00512129800477793,10,50,normal,0
3,tcp,smtp,SF,30863,55267,0,0,0,9,0,1,22,20,0.06584022886031292,31,142,normal,0
0,icmp,other,REJ,53,6,0,1,0,2,0,0,205,215,0.7857374961643997,48,232,pod,1
0,icmp,private,S0,80,55,0,0,0,3,0,1,464,213,0.8566624112499608,49,255,smurf,1
0,tcp,domain_u,RSTO,159,13,1,0,0,0,0,1,88,145,0.09169363683469588,81,155,land,1
0,tcp,domain_u,S0,385,41,0,0,0,1,6,0,234,317,0.8968564286000275,37,215,neptune,1
0,tcp,dns,SF,26271,4732,0,0,0,6,0,1,80,114,0.08316125441963416,68,177,normal,0
0,icmp,other,REJ,263,61,0,3,0,2,0,0,390,276,0.8981295136689842,4,218,pod,1
0,tcp,private,S0,308,42,0,2,0,2,0,0,425,334,0.9752177809256475,79,217,teardrop,1
0,icmp,private,REJ,43,56,0,0,0,2,0,0,420,277,0.8363035119038277,36,227,smurf,1
0,tcp,private,RSTO,200,90,0,5,0,2,0,1,226,269,0.8170976647603074,84,222,teardrop,1
0,tcp,private,RSTO,283,74,0,0,0,2,2,0,501,277,0.8935596944963226,34,232,neptune,1
0,tcp,private,REJ,146,30,0,0,0,4,5,0,494,339,0.8117509962608012,76,208,neptune,1
0,tcp,other,S0,439,50,0,0,0,0,3,0,299,349,0.7666311107277253,8,249,neptune,1
2,udp,other,SF,30626,22079,0,0,0,29,0,1,59,120,0.09409848089134758,36,44,normal,0
0,tcp,http,SF,14313,36610,0,0,0,19,0,1,50,57,0.0710438723802874,30,51,normal,0
2,tcp,other,REJ,57799,16663,0,0,0,29,0,1,69,12,0.0843932649497907,37,52,normal,0
0,icmp,other,S0,208,43,0,0,0,3,0,1,421,203,0.9324491010396543,25,236,smurf,1
4,tcp,http,SF,1101,27894,0,0,0,17,0,1,98,118,0.08138991095147058,78,122,normal,0
0,tcp,http,S0,81,49,0,0,0,4,1,0,320,431,0.8144421929794627,97,210,neptune,1
0,udp,domain_u,REJ,262,59,1,0,0,3,0,0,69,9,0.09165492564834339,33,44,land,1
0,udp,http,SF,8531,15249,0,0,0,9,0,1,59,120,0.11513249632141481,82,25,normal,0
0,tcp,http,S0,285,71,0,0,0,0,5,0,239,480,0.760329394732721,28,221,neptune,1
0,tcp,domain_u,S0,22,79,0,1,0,4,0,0,497,273,0.8118514611053056,6,219,teardrop,1
7,tcp,ssh,REJ,58990,56775,0,0,0,21,0,1,55,19,0.07855181089395925,59,122,normal,0
16,tcp,ftp,SF,11310,49637,0,0,0,14,0,1,4,86,0.06122106148519602,98,33,normal,0
17,udp,other,SF,20743,9968,0,0,0,27,0,1,16,101,0.033724551467289955,95,73,normal,0
10,udp,other,SF,42454,25719,0,0,0,2,0,0,75,76,0.03959783625185679,88,171,normal,0
0,icmp,private,SF,431,92,0,0,0,3,2,0,27,73,0.12351673280289474,24,169,warezclient,1
0,tcp,domain_u,S0,94,94,0,0,0,3,0,0,384,409,0.9944130137139867,16,221,back,1
0,icmp,http,S0,474,58,0,0,0,3,0,0,307,282,0.8872352987818972,52,241,smurf,1
0,udp,smtp,SF,574,10,1,0,0,0,0,0,87,9,0.11773488893515181,61,55,land,1
0,udp,http,S0,375,95,0,0,0,1,0,1,421,212,0.8608739784994888,51,226,back,1
3,udp,ftp,SF,11464,9912,0,0,0,20,0,1,69,137,0.016738399577765132,5,191,normal,0
0,tcp,domain_u,SF,150,82,1,0,0,2,0,0,96,46,0.1018814434831216,70,55,land,1
0,tcp,private,S0,201,31,0,0,0,2,1,0,225,417,0.9612935743741228,41,222,neptune,1
0,tcp,private,S0,249,73,0,0,0,1,0,0,372,395,0.9907090351295373,74,246,back,1
0,tcp,other,SF,598,53,1,0,0,4,0,0,79,126,0.07902665764001632,87,162,land,1
0,tcp,other,SF,35550,3923,0,0,0,8,0,1,79,110,0.08639111502074616,59,94,normal,0
3,tcp,smtp,SF,16942,2545,0,0,0,17,0,1,60,103,0.07836518375512418,99,154,normal,0
12,tcp,ssh,SF,1700,6800,0,0,0,10,0,0,87,143,0.10190019353512089,73,59,normal,0
0,tcp,other,REJ,165,96,0,0,0,1,6,1,311,486,0.7540279297322093,60,211,neptune,1
0,tcp,other,REJ,0,93,0,0,0,3,0,0,290,406,0.8944101530886822,98,242,back,1
0,tcp,private,SF,337,93,1,0,0,4,0,0,64,1,0.07361719762238743,5,107,land,1
2,udp,http,SF,1014,1408,0,0,0,26,0,1,34,24,0.14189074979718153,82,24,normal,0
0,tcp,http,S0,70,79,0,0,0,1,3,1,319,377,0.8049943005632075,65,239,neptune,1
2,tcp,private,S0,107,42,0,0,0,4,3,1,322,414,0.9264369643356749,40,248,neptune,1
3,icmp,http,S0,38034,35476,0,0,0,28,0,1,93,94,0.12337185309927479,82,133,normal,0
0,icmp,other,SF,57770,29994,0,0,0,16,0,1,73,50,0.07561665691898037,42,99,normal,0
0,tcp,http,RSTO,11387,27257,0,0,0,8,0,1,69,3,0.02409733983754363,41,81,normal,0
0,udp,http,SF,24,97,0,0,0,1,1,0,12,102,0.13915737951146204,63,48,warezclient,1
2,tcp,http,SF,54264,15162,0,0,0,27,0,1,98,25,0.018302241660725176,28,136,normal,0
0,tcp,private,RSTO,264,33,0,0,0,4,2,0,228,245,0.8519199329211335,43,210,neptune,1
0,icmp,other,RSTO,202,60,0,1,0,4,0,1,486,311,0.8452314400499756,25,223,pod,1
5,tcp,dns,SF,11710,57091,0,0,0,23,0,1,84,140,0.09823256468695975,76,161,normal,0
0,udp,other,S0,474,94,0,0,0,1,0,0,361,106,0.016790041093197778,249,159,portsweep,1
0,udp,http,SF,219,7,0,0,0,2,0,1,351,129,0.1451355803580281,226,145,portsweep,1
0,icmp,http,REJ,51703,58975,0,0,0,20,0,1,20,127,0.08025959979952088,7,142,normal,0
1,udp,domain_u,S0,81,52,0,0,0,3,5,0,479,283,0.8494406936778228,49,210,neptune,1
7,tcp,ssh,SF,26313,10312,0,0,0,29,0,1,29,99,0.1425569880353468,89,176,normal,0
2,udp,ssh,SF,40332,58473,0,0,0,3,0,1,19,59,0.0701550974105103,61,17,normal,0
10,icmp,ssh,SF,30341,12874,0,0,0,9,0,1,52,75,0.10441499673610827,77,92,normal,0
0,icmp,private,REJ,179,30,0,0,0,1,0,1,286,334,0.8540864676973765,19,241,smurf,1
0,udp,other,S0,597,84,0,0,0,2,6,0,490,400,0.984524904827863,43,237,neptune,1
4,icmp,ftp,SF,50436,57058,0,0,0,4,0,1,37,85,0.111450176075299,54,71,normal,0
0,tcp,other,SF,16850,10332,0,0,0,19,0,0,67,22,0.1406174611005049,25,97,normal,0
1,udp,domain_u,S0,44,62,1,0,0,4,0,0,19,98,0.10848744708441639,24,49,land,1
1,udp,http,REJ,13608,23124,0,0,0,21,0,1,52,4,0.023179217731386675,99,2,normal,0
11,icmp,http,S0,13794,30963,0,0,0,6,0,0,63,12,0.12412793242394468,45,27,normal,0
0,tcp,other,S0,430,56,0,0,0,2,3,0,478,228,0.8497875381778931,64,233,neptune,1
0,tcp,domain_u,SF,357,56,0,0,0,2,0,0,338,58,0.009809947800907786,217,24,ipsweep,1
1,udp,http,REJ,37849,6111,0,0,0,18,0,1,55,105,0.05797558752406452,62,100,normal,0
0,icmp,smtp,S0,223,16,0,3,0,3,0,0,462,508,0.99485468747144,9,241,pod,1
0,tcp,private,S0,188,88,0,4,0,2,0,0,375,482,0.9450812594940049,78,202,teardrop,1
3,tcp,http,SF,16772,14284,0,0,0,15,0,1,83,58,0.12348750002504806,89,132,normal,0
0,icmp,domain_u,S0,7,66,0,2,0,0,0,0,447,201,0.8542120849980366,14,221,pod,1
4,tcp,ssh,REJ,45863,36610,0,0,0,1,0,1,47,135,0.06759760217710904,74,128,normal,0
0,icmp,domain_u,S0,405,23,0,0,0,2,0,1,271,371,0.90236336965067,87,212,smurf,1
0,icmp,private,RSTO,471,24,0,0,0,4,0,1,419,371,0.8180914855364045,75,213,smurf,1
0,tcp,http,S0,20,9,0,0,0,1,2,0,291,466,0.8940377768026031,82,251,neptune,1
0,tcp,http,SF,36106,17185,0,0,0,23,0,1,12,140,0.01602493870242335,21,38,normal,0
0,tcp,other,RSTO,411,81,0,0,0,2,0,0,434,356,0.9464968003293974,94,205,back,1
1,tcp,ftp,SF,42491,56830,0,0,0,12,0,1,69,33,0.004653975885178657,90,161,normal,0
0,tcp,other,SF,3390,526,0,0,0,22,0,1,65,61,0.03892738536093827,87,112,normal,0
1,tcp,ftp,SF,33820,59250,0,0,0,8,0,0,77,13,0.024776597758204944,36,190,normal,0
0,icmp,http,S0,235,57,0,0,0,4,0,1,353,497,0.7742214398496454,16,213,smurf,1
0,icmp,private,RSTO,579,82,0,3,0,0,0,0,275,376,0.9192938875435155,30,200,pod,1
4,tcp,http,SF,29845,13727,0,0,0,7,0,1,19,77,0.06581822312182228,73,109,normal,0
0,udp,http,S0,221,22,0,0,0,1,1,1,294,273,0.8449732532803056,75,215,neptune,1
0,tcp,http,SF,27834,18692,0,0,0,15,0,1,10,4,0.025479253268410995,24,190,normal,0
0,icmp,domain_u,S0,94,49,0,0,0,1,0,0,289,210,0.9284425179260926,72,240,smurf,1
8,udp,http,SF,45156,58753,0,0,0,28,0,1,50,129,0.1288534911630098,89,189,normal,0
0,icmp,other,S0,244,88,0,2,0,2,0,0,397,453,0.9088523680202235,9,204,pod,1
0,tcp,http,SF,42467,25799,0,0,0,28,0,1,74,49,0.06747513422860173,2,199,normal,0
0,tcp,private,SF,9,95,0,0,0,1,2,0,18,24,0.11050223242181165,97,193,warezclient,1
12,tcp,http,REJ,30841,18338,0,0,0,18,0,0,10,34,0.013811815739477368,71,196,normal,0
2,tcp,other,SF,2795,35049,0,0,0,7,0,1,85,135,0.1448227889597644,72,118,normal,0
8,tcp,ssh,SF,22051,45660,0,0,0,18,0,1,66,21,0.050765271230483126,72,18,normal,0
0,udp,smtp,SF,214,45,0,0,0,0,1,0,9,43,0.030069428003780062,53,72,warezclient,1
0,tcp,private,S0,71,48,1,0,0,0,0,0,38,100,0.14385624204352254,86,114,land,1
6,tcp,ftp,S0,8875,57217,0,0,0,8,0,1,7,93,0.0007636856460274565,43,168,normal,0
0,icmp,domain_u,S0,138,48,0,3,0,0,0,0,211,376,0.9840857369092889,66,252,pod,1
0,tcp,domain_u,S0,378,20,0,0,2,2,0,0,371,340,0.9585868766508516,68,244,back,1
1,icmp,smtp,S0,401,74,0,0,0,1,0,0,467,223,0.891191750999415,83,241,smurf,1
0,tcp,private,REJ,522,92,0,0,0,3,3,1,481,282,0.8576836266038714,5,238,neptune,1
1,tcp,http,S0,28764,16355,0,0,0,9,0,1,89,57,0.04725218616901354,61,131,normal,0
2,icmp,http,SF,11941,47460,0,0,0,29,0,1,99,90,0.13339482790005533,60,132,normal,0
0,tcp,other,SF,356,54,1,0,0,4,0,0,46,57,0.1484921338156771,59,48,land,1
0,tcp,private,SF,377,82,1,0,0,2,0,0,27,19,0.14234647678179943,60,95,land,1
1,icmp,http,RSTO,315,79,0,0,0,1,0,0,503,430,0.8925854803044557,79,254,smurf,1
1,tcp,http,SF,35434,57739,0,0,0,27,0,0,71,127,0.03001797207609682,71,87,normal,0
7,tcp,other,SF,29094,22554,0,0,0,1,0,1,38,73,0.1211409335825344,76,74,normal,0
0,icmp,http,S0,264,10,0,2,1,3,0,0,298,344,0.7676318886913321,39,230,pod,1
0,icmp,private,SF,82,38,1,0,0,4,0,1,87,109,0.1442323845907965,76,101,land,1
0,tcp,other,SF,581,73,1,0,0,1,0,0,93,48,0.13084556570209843,25,41,land,1
0,tcp,smtp,REJ,227,50,0,3,0,1,0,0,239,429,0.9346263586681383,7,253,teardrop,1
0,icmp,private,RSTO,130,36,0,0,0,0,0,0,492,451,0.8853941356355511,73,226,smurf,1
20,tcp,http,RSTO,51733,46343,0,0,0,10,0,1,86,67,0.13839349866248948,4,8,normal,0
5,tcp,ftp,SF,3136,46145,0,0,0,25,0,1,21,79,0.07308270811406214,14,162,normal,0
0,tcp,private,SF,544,87,1,0,0,0,0,0,69,88,0.12247569168123809,30,38,land,1
0,icmp,domain_u,RSTO,243,99,0,0,0,4,0,0,310,500,0.8067591609337948,7,233,smurf,1
2,tcp,http,SF,43465,2662,0,0,1,18,0,0,53,128,0.1157614161540767,59,1,normal,0
8,udp,dns,SF,56258,35005,0,0,0,17,0,1,47,135,0.00971879068819112,73,57,normal,0
0,icmp,private,REJ,244,62,0,4,0,4,0,0,432,404,0.878496796358314,71,215,pod,1
10,tcp,smtp,S0,23897,34642,0,0,0,6,0,0,74,30,0.06424409859149764,47,2,normal,0
0,tcp,http,SF,25612,27627,0,0,0,20,0,1,33,72,0.02750980844923212,98,58,normal,0
1,icmp,private,REJ,381,24,0,0,0,2,4,0,407,271,0.8502043364142668,74,202,neptune,1
0,icmp,http,S0,191,36,0,2,0,1,0,1,231,476,0.9911947297524735,2,200,pod,1
0,icmp,private,S0,521,98,0,1,0,1,0,0,511,383,0.7533353771881601,11,200,pod,1
7,tcp,http,SF,56926,2718,0,0,0,20,0,0,69,111,0.13826658324758945,9,121,normal,0
1,icmp,http,S0,157,55,0,2,0,2,0,0,378,206,0.9963934851119209,6,246,pod,1
4,tcp,http,SH,10458,8891,0,0,0,0,0,1,54,94,0.14944893718218633,22,143,normal,0
2,udp,dns,SF,19585,36021,0,0,0,3,0,1,3,35,0.042934163718500916,14,140,normal,0
0,tcp,smtp,S0,505,73,0,4,0,2,0,0,287,464,0.7887589435496836,16,209,teardrop,1
0,icmp,private,S0,166,77,0,0,0,2,0,0,314,408,0.9516929030491936,83,231,smurf,1
0,tcp,private,S0,21,34,0,0,0,1,0,1,490,209,0.7730560053904625,6,218,back,1
0,icmp,other,REJ,66,35,0,1,0,1,0,1,303,500,0.7695045210247596,77,248,pod,1
0,icmp,other,S0,586,69,0,0,0,3,0,0,389,222,0.7702433560283555,96,200,smurf,1
0,icmp,ssh,SH,39087,14938,0,0,1,2,0,1,14,133,0.031937752435077606,3,117,normal,0
2,icmp,other,S0,13283,15029,0,0,0,13,0,1,8,21,0.05204282057151218,93,145,normal,0
2,tcp,ssh,SF,12025,22426,0,0,0,4,0,0,32,61,0.10292770736429645,52,186,normal,0
0,tcp,ftp,SF,7250,1457,0,0,0,0,0,1,94,134,0.09022079760862432,53,85,normal,0
0,tcp,private,RSTO,379,14,0,0,0,2,0,1,504,114,0.1188879313824176,252,133,portsweep,1
10,tcp,http,SF,31568,3172,0,0,0,5,0,1,6,62,0.047704220004762425,35,17,normal,0
0,udp,smtp,SF,239,81,1,0,0,4,0,1,73,24,0.10713415427646254,34,79,land,1
0,icmp,private,S0,472,0,0,0,0,4,0,0,375,279,0.9207975128436856,15,244,smurf,1
0,tcp,smtp,REJ,306,67,0,2,0,0,0,0,427,235,0.7819780515373426,61,208,teardrop,1
0,tcp,private,S0,175,10,0,0,0,3,1,0,382,329,0.7646862347220724,92,254,neptune,1
0,icmp,http,REJ,312,9,0,0,0,0,0,0,295,484,0.9064833487240453,13,218,smurf,1
0,tcp,private,S0,543,44,0,0,0,1,1,0,466,274,0.8133908323332272,64,229,neptune,1
3,tcp,http,SF,21761,1724,0,0,0,14,0,1,48,60,0.07157700421203812,47,19,normal,0
0,icmp,domain_u,S0,378,18,0,3,0,3,0,0,211,222,0.7539376119220702,12,246,pod,1
5,tcp,http,S0,20392,12845,0,0,0,29,0,1,42,149,0.073366981667147,98,163,normal,0
5,tcp,other,SF,57168,45381,0,0,0,5,0,0,85,134,0.018992784744478252,33,165,normal,0
0,icmp,http,S0,139,40,0,0,0,2,0,1,495,277,0.9118957780235142,98,233,smurf,1
2,tcp,http,REJ,55189,31001,0,0,0,20,0,1,55,147,0.016516844612724596,59,192,normal,0
0,icmp,smtp,SF,342,26,0,0,0,3,6,0,79,25,0.013765943646911027,85,83,warezclient,1
0,tcp,other,SF,268,11,0,0,0,4,0,1,352,139,0.07313817492341829,225,129,portsweep,1
0,tcp,http,REJ,185,77,0,0,0,0,5,0,43,76,0.017919007328723813,46,152,warezclient,1
12,icmp,dns,SF,40853,2004,0,0,0,2,0,1,78,66,0.1258946039169589,59,165,normal,0
6,tcp,ssh,SF,37699,18571,0,0,0,8,0,1,58,76,0.04302488310982735,6,152,normal,0
1,tcp,private,SF,221,37,0,0,0,4,3,1,38,25,0.1437068864961063,94,57,warezclient,1
0,udp,private,RSTO,513,65,0,0,0,4,3,0,346,238,0.9735728109585584,40,221,neptune,1
0,tcp,domain_u,REJ,98,57,0,0,0,0,0,1,306,33,0.09500079827658921,226,109,portsweep,1
2,udp,private,SF,9,95,0,0,0,0,0,0,345,126,0.09339690016230168,209,172,portsweep,1
0,tcp,private,REJ,584,81,0,0,0,0,0,0,317,398,0.8519032660928602,57,236,back,1
2,tcp,other,RSTO,35248,15976,0,0,0,8,0,1,11,52,0.1304478829358884,5,80,normal,0
17,tcp,http,SF,14560,552,0,0,0,0,0,1,94,45,0.14888593370859962,20,1,normal,0
0,tcp,private,REJ,93,29,0,0,0,0,0,0,484,468,0.9914633118414083,82,255,back,1
0,udp,http,SF,59347,13182,0,0,0,15,0,1,35,117,0.07381570572205347,77,133,normal,0
9,tcp,ftp,SF,50740,53440,0,0,0,5,0,0,42,88,0.07549703463022406,43,173,normal,0
0,icmp,other,REJ,241,47,0,0,0,4,0,0,367,272,0.875275524387777,62,227,smurf,1
0,udp,domain_u,SF,97,39,0,0,0,0,3,0,52,140,0.0645668146408867,14,187,warezclient,1
0,icmp,other,S0,382,93,0,4,0,0,0,1,458,209,0.8529471868451037,96,210,pod,1
1,icmp,http,S0,578,98,0,0,0,0,0,1,365,312,0.8967477472525689,67,223,smurf,1
10,tcp,smtp,SF,3708,31858,0,0,0,13,0,1,75,113,0.009294764614700506,33,194,normal,0
0,icmp,domain_u,S0,140,20,0,0,0,2,0,0,445,228,0.7696342802962394,73,209,smurf,1
0,udp,private,SF,202,4,0,0,0,1,0,0,375,115,0.1132043041032198,227,124,ipsweep,1
4,tcp,smtp,SF,50934,51099,0,0,0,19,0,0,81,136,0.09711905457980523,50,12,normal,0
1,tcp,domain_u,S0,403,90,0,0,0,0,2,0,403,457,0.8660684769267708,8,246,neptune,1
0,tcp,smtp,SF,416,6,1,0,0,2,0,1,77,112,0.13702636179295885,20,166,land,1
0,tcp,http,S0,305,59,0,3,0,3,0,0,422,340,0.7942438702339785,24,212,teardrop,1
0,icmp,domain_u,S0,136,55,0,5,0,4,0,0,471,435,0.9160149913127853,40,213,pod,1
0,icmp,http,S0,129,30,0,1,0,2,0,1,460,364,0.9842963793125212,18,210,pod,1
9,tcp,ftp,SF,31460,10967,0,0,0,9,0,1,52,18,0.10855904005147404,87,50,normal,0
1,tcp,http,SF,35786,58337,0,0,0,16,0,1,90,20,0.04934360202909354,69,109,normal,0
